Datetime,NMEA msg,UTC time,latitude,northing,longitude,easting,fix mode status,space vehicles used,hdop,altitude msl,units,geoid (HAE-MSL),units,Age of DGNSS corrections,Ref station,latitude_decimal,longitude_decimal,HAE
2024-07-29 15:10:43,$GNGGA,201043,4153.25593,N,8739.5833,W,5,12,1.12,181.5,M,-33.8,M,6,0000*52,41.887598833333335,-87.65972166666667,147.7
2024-07-29 15:10:45,$GNGGA,201045,4153.25587,N,8739.58539,W,5,12,1.12,181.5,M,-33.8,M,8,0000*50,41.88759783333333,-87.6597565,147.7
2024-07-29 15:10:46,$GNGGA,201046,4153.25587,N,8739.58644,W,5,12,1.21,181.5,M,-33.8,M,9,0000*5B,41.88759783333333,-87.659774,147.7
2024-07-29 15:10:47,$GNGGA,201047,4153.25583,N,8739.5875,W,5,12,1.21,181.5,M,-33.8,M,10,0000*62,41.887597166666666,-87.65979166666666,147.7
2024-07-29 15:10:48,$GNGGA,201048,4153.25584,N,8739.58854,W,5,12,1.21,181.5,M,-33.8,M,11,0000*60,41.88759733333333,-87.659809,147.7
2024-07-29 15:10:49,$GNGGA,201049,4153.25583,N,8739.58957,W,5,12,1.24,181.5,M,-33.8,M,12,0000*62,41.887597166666666,-87.65982616666666,147.7
2024-07-29 15:10:50,$GNGGA,201050,4153.25582,N,8739.59063,W,5,12,1.24,181.5,M,-33.8,M,13,0000*65,41.887597,-87.65984383333333,147.7
2024-07-29 15:10:51,$GNGGA,201051,4153.2558,N,8739.59166,W,5,12,1.24,181.4,M,-33.8,M,14,0000*64,41.88759666666667,-87.659861,147.60000000000002
2024-07-29 15:10:52,$GNGGA,201052,4153.25582,N,8739.59271,W,5,12,1.15,181.4,M,-33.8,M,15,0000*63,41.887597,-87.6598785,147.60000000000002
2024-07-29 15:10:54,$GNGGA,201054,4153.25593,N,8739.59485,W,2,12,1.96,181.3,M,-33.8,M,17,0000*61,41.887598833333335,-87.65991416666667,147.5
2024-07-29 15:10:56,$GNGGA,201056,4153.25621,N,8739.59688,W,2,12,1.62,181.2,M,-33.8,M,19,0000*62,41.8876035,-87.659948,147.39999999999998
